item_id,d_c,is_correct,source
PHYBench_495,0,0,pilot258
PHYBench_600,0,0,pilot258
PHYBench_285,0,0,pilot258
PHYBench_321,1,0,pilot258
PHYBench_674,4,0,pilot258
PHYBench_83,0,0,pilot258
PHYBench_54,1,0,pilot258
PHYBench_10,1,0,pilot258
PHYBench_33,1,0,pilot258
PHYBench_41,1,1,pilot258
PHYBench_453,1,0,pilot258
PHYBench_281,0,1,pilot258
PHYBench_95,1,0,pilot258
PHYBench_101,5,0,pilot258
PHYBench_630,1,0,pilot258
PHYBench_134,0,1,pilot258
PHYBench_650,2,0,pilot258
PHYBench_332,4,0,pilot258
PHYBench_250,1,0,pilot258
PHYBench_409,1,0,pilot258
PHYBench_133,0,0,pilot258
PHYBench_336,2,0,pilot258
PHYBench_88,2,0,pilot258
PHYBench_105,1,0,pilot258
PHYBench_617,2,0,pilot258
PHYBench_702,0,0,pilot258
PHYBench_367,0,1,pilot258
PHYBench_497,1,0,pilot258
PHYBench_457,2,0,pilot258
PHYBench_432,1,0,pilot258
PHYBench_284,0,1,pilot258
PHYBench_39,1,1,pilot258
PHYBench_124,1,1,pilot258
PHYBench_55,0,0,pilot258
PHYBench_419,0,0,pilot258
PHYBench_458,1,1,pilot258
PHYBench_206,0,1,pilot258
PHYBench_204,0,1,pilot258
PHYBench_478,1,0,pilot258
PHYBench_71,2,1,pilot258
PHYBench_259,0,0,pilot258
PHYBench_766,2,0,pilot258
PHYBench_716,2,0,pilot258
PHYBench_103,1,0,pilot258
PHYBench_310,3,0,pilot258
PHYBench_110,2,0,pilot258
PHYBench_256,3,0,pilot258
PHYBench_112,2,0,pilot258
PHYBench_505,1,1,pilot258
PHYBench_331,0,0,pilot258
PHYBench_498,0,0,pilot258
PHYBench_737,3,0,pilot258
PHYBench_636,3,0,pilot258
PHYBench_420,1,0,pilot258
PHYBench_228,3,0,pilot258
PHYBench_450,2,0,pilot258
PHYBench_708,0,0,pilot258
PHYBench_649,3,0,pilot258
PHYBench_688,3,0,pilot258
PHYBench_118,1,0,pilot258
PHYBench_318,0,1,pilot258
PHYBench_62,1,0,pilot258
PHYBench_143,0,0,pilot258
PHYBench_401,3,0,pilot258
PHYBench_443,0,1,pilot258
PHYBench_115,1,0,pilot258
PHYBench_493,2,0,pilot258
PHYBench_69,3,1,pilot258
PHYBench_65,2,0,pilot258
PHYBench_131,0,1,pilot258
PHYBench_709,1,0,pilot258
PHYBench_423,1,0,pilot258
PHYBench_36,2,0,pilot258
PHYBench_333,2,0,pilot258
PHYBench_50,1,0,pilot258
PHYBench_221,3,0,pilot258
PHYBench_120,1,0,pilot258
PHYBench_121,0,0,pilot258
PHYBench_648,3,0,pilot258
PHYBench_72,1,0,pilot258
PHYBench_603,0,1,pilot258
PHYBench_670,1,1,pilot258
PHYBench_140,0,1,pilot258
PHYBench_653,2,0,pilot258
PHYBench_719,1,1,pilot258
PHYBench_211,0,0,pilot258
PHYBench_139,0,0,pilot258
PHYBench_106,1,0,pilot258
PHYBench_58,0,0,pilot258
PHYBench_412,0,0,pilot258
PHYBench_43,1,0,pilot258
PHYBench_117,2,0,pilot258
PHYBench_42,2,0,pilot258
PHYBench_45,2,0,pilot258
PHYBench_37,3,0,pilot258
PHYBench_654,1,0,pilot258
PHYBench_244,0,0,pilot258
PHYBench_25,4,0,pilot258
PHYBench_100,1,0,pilot258
PHYBench_89,2,0,pilot258
OlympiadBench_802,1,1,pilot258
OlympiadBench_803,1,0,pilot258
OlympiadBench_806,0,0,pilot258
OlympiadBench_807,1,0,pilot258
OlympiadBench_808,0,1,pilot258
OlympiadBench_810,0,1,pilot258
OlympiadBench_811,0,1,pilot258
OlympiadBench_812,1,1,pilot258
OlympiadBench_813,1,0,pilot258
OlympiadBench_814,0,1,pilot258
OlympiadBench_816,0,0,pilot258
OlympiadBench_817,1,1,pilot258
OlympiadBench_819,2,1,pilot258
OlympiadBench_821,2,1,pilot258
OlympiadBench_823,2,0,pilot258
OlympiadBench_826,1,0,pilot258
OlympiadBench_828,1,0,pilot258
OlympiadBench_835,2,0,pilot258
OlympiadBench_836,1,0,pilot258
OlympiadBench_837,0,0,pilot258
OlympiadBench_840,1,1,pilot258
OlympiadBench_842,1,0,pilot258
OlympiadBench_844,0,0,pilot258
OlympiadBench_847,0,0,pilot258
OlympiadBench_849,1,0,pilot258
OlympiadBench_851,0,1,pilot258
OlympiadBench_853,1,0,pilot258
OlympiadBench_856,0,0,pilot258
OlympiadBench_860,2,0,pilot258
OlympiadBench_861,1,0,pilot258
OlympiadBench_863,2,0,pilot258
