item_id,difficulty,rule_q_dc,rule_q_families,rule_qs_dc,rule_qs_families,human_dc,human_families,llm_dc
PhysReason_cal_problem_00002,easy,0,,0,,0,,
PhysReason_cal_problem_00004,medium,0,,1,energy,1,energy,
PhysReason_cal_problem_00005,easy,0,,0,,0,,
PhysReason_cal_problem_00006,knowledge,0,,0,,0,,
PhysReason_cal_problem_00008,medium,0,,0,,0,,
PhysReason_cal_problem_00009,knowledge,0,,0,,0,,
PhysReason_cal_problem_00010,difficult,0,,0,,0,,
PhysReason_cal_problem_00011,knowledge,0,,0,,0,,
PhysReason_cal_problem_00012,knowledge,0,,1,energy,2,energy|mass,2
PhysReason_cal_problem_00013,knowledge,0,,0,,0,,
PhysReason_cal_problem_00014,easy,0,,0,,1,energy,
PhysReason_cal_problem_00015,knowledge,0,,1,energy,1,energy,
PhysReason_cal_problem_00016,easy,0,,0,,0,,
PhysReason_cal_problem_00017,medium,0,,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00018,medium,0,,1,energy,2,energy|momentum,
PhysReason_cal_problem_00019,knowledge,0,,1,momentum,1,momentum,1
PhysReason_cal_problem_00020,knowledge,1,momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00021,medium,1,momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00022,difficult,1,momentum,2,energy|momentum,1,momentum,
PhysReason_cal_problem_00024,easy,0,,0,,0,,
PhysReason_cal_problem_00026,medium,0,,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00027,easy,1,momentum,2,energy|momentum,2,energy|momentum,2
PhysReason_cal_problem_00028,difficult,0,,0,,1,energy,
PhysReason_cal_problem_00029,difficult,1,momentum,1,momentum,2,energy|momentum,
PhysReason_cal_problem_00030,difficult,0,,2,energy|momentum,1,energy,
PhysReason_cal_problem_00031,difficult,1,momentum,2,energy|momentum,1,momentum,
PhysReason_cal_problem_00032,easy,0,,0,,0,,
PhysReason_cal_problem_00035,easy,2,energy|momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00036,knowledge,0,,0,,0,,
PhysReason_cal_problem_00037,difficult,0,,0,,0,,
PhysReason_cal_problem_00042,easy,0,,0,,0,,
PhysReason_cal_problem_00044,difficult,1,momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00045,difficult,1,momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00046,knowledge,0,,0,,0,,
PhysReason_cal_problem_00047,medium,2,energy|momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00048,medium,1,momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00049,difficult,2,energy|momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00050,easy,0,,0,,0,,
PhysReason_cal_problem_00051,difficult,1,momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00052,knowledge,1,momentum,1,momentum,1,momentum,
PhysReason_cal_problem_00055,medium,0,,1,energy,1,energy,
PhysReason_cal_problem_00056,medium,0,,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00057,knowledge,0,,0,,0,,
PhysReason_cal_problem_00058,difficult,1,momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00061,difficult,2,energy|momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00063,knowledge,1,momentum,1,momentum,2,energy|momentum,
PhysReason_cal_problem_00066,difficult,2,energy|momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00067,easy,0,,0,,0,,1
PhysReason_cal_problem_00069,medium,1,momentum,2,energy|momentum,1,energy,2
PhysReason_cal_problem_00071,medium,0,,1,energy,1,energy,
PhysReason_cal_problem_00073,difficult,2,energy|momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00074,easy,0,,0,,0,,
PhysReason_cal_problem_00075,difficult,1,momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00077,knowledge,0,,1,energy,1,energy,
PhysReason_cal_problem_00078,easy,0,,1,momentum,1,momentum,1
PhysReason_cal_problem_00080,difficult,1,momentum,2,energy|momentum,1,energy,
PhysReason_cal_problem_00085,difficult,1,momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00086,difficult,2,energy|momentum,2,energy|momentum,1,energy,
PhysReason_cal_problem_00088,medium,0,,1,energy,1,energy,
PhysReason_cal_problem_00089,medium,0,,0,,0,,
PhysReason_cal_problem_00090,easy,2,energy|momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00092,medium,0,,2,energy|momentum,2,energy|momentum,2
PhysReason_cal_problem_00094,knowledge,1,momentum,1,momentum,2,energy|momentum,
PhysReason_cal_problem_00095,difficult,1,momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00097,difficult,2,energy|momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00098,difficult,0,,0,,1,energy,
PhysReason_cal_problem_00099,medium,0,,0,,0,,0
PhysReason_cal_problem_00100,difficult,1,momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00101,difficult,1,momentum,2,energy|momentum,1,energy,
PhysReason_cal_problem_00102,medium,0,,1,energy,1,energy,
PhysReason_cal_problem_00103,difficult,0,,0,,0,,
PhysReason_cal_problem_00104,difficult,0,,0,,1,momentum,
PhysReason_cal_problem_00105,difficult,0,,2,energy|momentum,2,energy|momentum,
