item_id,family,d_c,matched_group,question_chars,answer_true,pred,is_correct,solve_error,latency_s
SYN_coll_000_dc1,collision_chain,1,coll_000,264,1.0,1.0,1,,0.0
SYN_coll_001_dc1,collision_chain,1,coll_001,264,1.25,1.25,1,,0.0
SYN_coll_001_dc2,collision_chain,2,coll_001,268,2.5,2.5,1,,0.0
SYN_coll_000_dc2,collision_chain,2,coll_000,268,2.0,2.0,1,,0.0
SYN_coll_000_dc3,collision_chain,3,coll_000,320,0.2,0.2,1,,0.0
SYN_coll_002_dc1,collision_chain,1,coll_002,264,1.4,1.4,1,,0.0
SYN_coll_001_dc3,collision_chain,3,coll_001,320,0.3125,0.3125,1,,0.0
SYN_coll_003_dc1,collision_chain,1,coll_003,264,1.5,1.5,1,,0.0
SYN_coll_003_dc2,collision_chain,2,coll_003,268,3.0,3.0,1,,0.0
SYN_coll_002_dc3,collision_chain,3,coll_002,320,0.392,0.392,1,,0.0
SYN_coll_002_dc2,collision_chain,2,coll_002,268,2.8,2.8,1,,0.0
SYN_coll_003_dc3,collision_chain,3,coll_003,320,0.45,0.45,1,,0.0
SYN_coll_004_dc1,collision_chain,1,coll_004,265,1.571429,1.57,1,,0.0
SYN_coll_006_dc1,collision_chain,1,coll_006,264,0.5,0.5,1,,0.0
SYN_coll_005_dc1,collision_chain,1,coll_005,264,0.333333,0.33,1,,0.0
SYN_coll_004_dc2,collision_chain,2,coll_004,269,3.142857,3.14,1,,0.0
SYN_coll_004_dc3,collision_chain,3,coll_004,321,0.493878,0.49,1,,0.0
SYN_coll_006_dc2,collision_chain,2,coll_006,268,1.0,1.0,1,,0.0
SYN_coll_005_dc3,collision_chain,3,coll_005,320,0.022222,0.022,1,,0.0
SYN_coll_005_dc2,collision_chain,2,coll_005,268,0.666667,0.67,1,,0.0
SYN_coll_006_dc3,collision_chain,3,coll_006,320,0.05,0.05,1,,0.0
SYN_coll_008_dc1,collision_chain,1,coll_008,264,3.6,3.6,1,,0.0
SYN_coll_007_dc1,collision_chain,1,coll_007,264,4.666667,4.67,1,,0.0
SYN_coll_008_dc2,collision_chain,2,coll_008,268,7.2,7.2,1,,0.0
SYN_coll_007_dc2,collision_chain,2,coll_007,268,9.333333,9.33,1,,0.0
SYN_coll_008_dc3,collision_chain,3,coll_008,320,2.592,2.592,1,,0.0
SYN_coll_007_dc3,collision_chain,3,coll_007,320,4.355556,4.36,1,,0.0
SYN_coll_010_dc1,collision_chain,1,coll_010,264,0.75,0.75,1,,0.0
SYN_coll_009_dc1,collision_chain,1,coll_009,265,3.666667,3.67,1,,0.0
SYN_coll_010_dc2,collision_chain,2,coll_010,268,1.5,1.5,1,,0.0
SYN_coll_009_dc3,collision_chain,3,coll_009,321,2.688889,2.69,1,,0.0
SYN_coll_011_dc1,collision_chain,1,coll_011,264,1.111111,1.11,1,,0.0
SYN_coll_010_dc3,collision_chain,3,coll_010,320,0.1125,0.1125,1,,0.0
SYN_coll_009_dc2,collision_chain,2,coll_009,269,7.333333,7.33,1,,0.0
SYN_coll_012_dc1,collision_chain,1,coll_012,264,1.4,1.4,1,,0.0
SYN_coll_011_dc2,collision_chain,2,coll_011,268,2.222222,2.22,1,,0.0
SYN_coll_012_dc2,collision_chain,2,coll_012,268,2.8,2.8,1,,0.0
SYN_coll_013_dc1,collision_chain,1,coll_013,264,1.636364,1.64,1,,0.0
SYN_coll_011_dc3,collision_chain,3,coll_011,320,0.246914,0.25,1,,0.0
SYN_coll_013_dc2,collision_chain,2,coll_013,268,3.272727,3.27,1,,0.0
SYN_coll_012_dc3,collision_chain,3,coll_012,320,0.392,0.392,1,,0.0
SYN_coll_014_dc1,collision_chain,1,coll_014,265,8.25,8.25,1,,0.0
SYN_coll_014_dc2,collision_chain,2,coll_014,269,16.5,16.5,1,,0.0
SYN_coll_014_dc3,collision_chain,3,coll_014,321,13.6125,13.6125,1,,0.0
SYN_coll_013_dc3,collision_chain,3,coll_013,320,0.535537,0.54,1,,0.0
SYN_coll_016_dc1,collision_chain,1,coll_016,264,1.875,1.875,1,,0.0
SYN_coll_015_dc1,collision_chain,1,coll_015,264,1.285714,1.29,1,,0.0
SYN_coll_015_dc3,collision_chain,3,coll_015,320,0.330612,0.33,1,,0.0
SYN_coll_016_dc2,collision_chain,2,coll_016,268,3.75,3.75,1,,0.0
SYN_coll_015_dc2,collision_chain,2,coll_015,268,2.571429,2.57,1,,0.0
SYN_coll_017_dc1,collision_chain,1,coll_017,264,2.333333,2.33,1,,0.0
SYN_coll_016_dc3,collision_chain,3,coll_016,320,0.703125,0.703125,1,,0.0
SYN_coll_018_dc1,collision_chain,1,coll_018,264,2.7,2.7,1,,0.0
SYN_coll_018_dc2,collision_chain,2,coll_018,268,5.4,5.4,1,,0.0
SYN_coll_019_dc1,collision_chain,1,coll_019,265,3.0,3.0,1,,0.0
SYN_coll_019_dc2,collision_chain,2,coll_019,269,6.0,6.0,1,,0.0
SYN_coll_018_dc3,collision_chain,3,coll_018,320,1.458,1.458,1,,0.0
SYN_coll_017_dc3,collision_chain,3,coll_017,320,1.088889,1.09,1,,0.0
SYN_coll_017_dc2,collision_chain,2,coll_017,268,4.666667,4.67,1,,0.0
SYN_coll_019_dc3,collision_chain,3,coll_019,321,1.8,1.8,1,,0.0
SYN_coll_020_dc1,collision_chain,1,coll_020,264,2.4,2.4,1,,0.0
SYN_coll_020_dc2,collision_chain,2,coll_020,268,4.8,4.8,1,,0.0
SYN_coll_022_dc1,collision_chain,1,coll_022,264,4.0,4.0,1,,0.0
SYN_coll_021_dc1,collision_chain,1,coll_021,264,3.333333,3.33,1,,0.0
SYN_coll_020_dc3,collision_chain,3,coll_020,320,1.152,1.152,1,,0.0
SYN_coll_022_dc2,collision_chain,2,coll_022,268,8.0,8.0,1,,0.0
SYN_coll_023_dc1,collision_chain,1,coll_023,264,4.0,4.0,1,,0.0
SYN_coll_021_dc2,collision_chain,2,coll_021,268,6.666667,6.67,1,,0.0
SYN_coll_023_dc2,collision_chain,2,coll_023,268,8.0,8.0,1,,0.0
SYN_coll_022_dc3,collision_chain,3,coll_022,320,3.2,3.2,1,,0.0
SYN_coll_021_dc3,collision_chain,3,coll_021,320,2.222222,2.22,1,,0.0
SYN_coll_023_dc3,collision_chain,3,coll_023,320,3.2,3.2,1,,0.0
SYN_coll_024_dc1,collision_chain,1,coll_024,265,4.4,4.4,1,,0.0
SYN_coll_025_dc1,collision_chain,1,coll_025,264,1.0,1.0,1,,0.0
SYN_coll_024_dc2,collision_chain,2,coll_024,269,8.8,8.8,1,,0.0
SYN_coll_025_dc2,collision_chain,2,coll_025,268,2.0,2.0,1,,0.0
SYN_coll_025_dc3,collision_chain,3,coll_025,320,0.2,0.2,1,,0.0
SYN_coll_026_dc1,collision_chain,1,coll_026,264,1.538462,1.54,1,,0.0
SYN_coll_024_dc3,collision_chain,3,coll_024,321,3.872,3.872,1,,0.0
SYN_coll_026_dc2,collision_chain,2,coll_026,268,3.076923,3.08,1,,0.0
SYN_coll_026_dc3,collision_chain,3,coll_026,320,0.473373,0.47,1,,0.0
SYN_coll_027_dc1,collision_chain,1,coll_027,264,5.833333,5.83,1,,0.0
SYN_coll_027_dc2,collision_chain,2,coll_027,268,11.666667,11.67,1,,0.0
SYN_coll_029_dc1,collision_chain,1,coll_029,265,6.875,6.875,1,,0.0
SYN_coll_027_dc3,collision_chain,3,coll_027,320,6.805556,6.81,1,,0.0
SYN_coll_028_dc2,collision_chain,2,coll_028,268,12.857143,12.86,1,,0.0
SYN_coll_028_dc1,collision_chain,1,coll_028,264,6.428571,6.43,1,,0.0
