item_id,d_c,is_correct,req_families,used_families,missing_required,ident_ok,failure_stage,resp_chars,solve_error,judge_error
PHYBench_321,1,1,,angular_momentum;energy,,1,,3163,,
PHYBench_83,0,0,,,,1,execution,3075,,
PHYBench_600,0,0,,,,1,execution,2835,,
PHYBench_285,0,0,,,,1,execution,3951,,
PHYBench_495,0,0,,,,1,execution,3539,,
PHYBench_674,4,0,energy;momentum,angular_momentum;momentum,energy,0,identification,4258,,
PHYBench_41,1,1,,momentum,,1,,1994,,
PHYBench_33,1,0,,energy,,1,execution,2734,,
PHYBench_453,1,1,,,,1,,2730,,
PHYBench_10,1,1,,,,1,,3014,,
PHYBench_281,0,1,,,,1,,2912,,
PHYBench_54,1,0,,momentum,,1,execution,5316,,
PHYBench_134,0,1,,,,1,,2058,,
PHYBench_630,1,0,,energy;mass,,1,execution,3310,,
PHYBench_95,1,0,,,,1,execution,4188,,
PHYBench_101,5,0,angular_momentum,,angular_momentum,0,identification,4154,,
PHYBench_650,2,0,,energy,,1,execution,4146,,
PHYBench_332,4,0,angular_momentum,energy,angular_momentum,0,identification,4434,,
PHYBench_250,1,0,,charge;mass,,1,execution,4071,,
PHYBench_133,0,1,,,,1,,2723,,
PHYBench_409,1,0,,,,1,execution,3605,,
PHYBench_336,2,0,,energy,,1,execution,3011,,
PHYBench_88,2,0,,energy;momentum,,1,execution,3131,,
PHYBench_105,1,0,,,,1,execution,3998,,
PHYBench_702,0,1,,,,1,,3284,,
PHYBench_367,0,0,,energy,,1,execution,3303,,
PHYBench_617,2,0,angular_momentum;energy;momentum,angular_momentum;momentum,energy,0,identification,4266,,
PHYBench_497,1,0,,energy,,1,execution,3607,,
PHYBench_457,2,0,momentum,angular_momentum;energy;momentum,,1,execution,4255,,
PHYBench_39,1,1,,,,1,,1448,,
PHYBench_432,1,0,,energy,,1,execution,3653,,
PHYBench_284,0,1,,,,1,,3178,,
PHYBench_124,1,1,,,,1,,2725,,
PHYBench_55,0,1,,,,1,,2716,,
PHYBench_458,1,1,,mass;momentum,,1,,2134,,
PHYBench_419,0,0,,,,1,execution,3234,,
PHYBench_206,0,1,,,,1,,2434,,
PHYBench_204,0,1,,,,1,,2771,,
PHYBench_478,1,0,,,,1,execution,2353,,
PHYBench_259,0,0,,,,1,execution,3028,,
PHYBench_71,2,0,,,,1,execution,4068,,
PHYBench_766,2,0,,energy,,1,execution,3592,,
PHYBench_716,2,0,angular_momentum,,angular_momentum,0,identification,4438,,
PHYBench_103,1,0,,charge,,1,execution,3100,,
PHYBench_310,3,0,energy,energy;momentum,,1,execution,3959,,
PHYBench_112,2,0,,charge;mass,,1,execution,2923,,
PHYBench_110,2,0,,energy,,1,execution,4004,,
PHYBench_256,3,0,angular_momentum,angular_momentum;energy;momentum,,1,execution,3777,,
PHYBench_331,0,0,,,,1,execution,2973,,
PHYBench_505,1,0,,,,1,execution,3928,,
PHYBench_498,0,0,,,,1,execution,3663,,
PHYBench_737,3,0,angular_momentum;energy,angular_momentum,energy,0,identification,2779,,
PHYBench_420,1,0,,energy,,1,execution,2435,,
PHYBench_636,3,0,angular_momentum,,angular_momentum,0,identification,3916,,
PHYBench_228,3,0,,,,1,execution,3358,,
PHYBench_450,2,0,energy,energy,,1,execution,3237,,
PHYBench_708,0,0,,,,1,execution,3896,,
PHYBench_649,3,0,angular_momentum;energy,angular_momentum,energy,0,identification,3738,,
PHYBench_688,3,0,angular_momentum,angular_momentum;momentum,,1,execution,3356,,
PHYBench_318,0,0,,,,1,execution,2521,,
PHYBench_118,1,0,,charge,,1,execution,3739,,
PHYBench_143,0,0,,energy,,1,execution,1714,,
PHYBench_62,1,0,,energy,,1,execution,2995,,
PHYBench_443,0,1,,,,1,,3470,,
PHYBench_401,3,0,angular_momentum,angular_momentum,,1,execution,2827,,
PHYBench_493,2,0,,,,1,execution,2827,,
PHYBench_115,1,0,,,,1,execution,3145,,
PHYBench_69,3,0,angular_momentum,angular_momentum;energy,,1,execution,3255,,
PHYBench_65,2,0,,energy,,1,execution,3785,,
PHYBench_709,1,0,,energy,,1,execution,2256,,
PHYBench_131,0,1,,,,1,,3344,,
PHYBench_423,1,0,entropy,energy;entropy,,1,execution,3207,,
PHYBench_36,2,0,,mass,,1,execution,3241,,
PHYBench_333,2,0,,angular_momentum,,1,execution,3191,,
PHYBench_50,1,0,energy,energy,,1,execution,3021,,
PHYBench_221,3,0,angular_momentum,angular_momentum,,1,execution,2595,,
PHYBench_120,1,0,,energy;entropy,,1,execution,2956,,
PHYBench_121,0,0,,,,1,execution,4029,,
PHYBench_648,3,0,angular_momentum;momentum,angular_momentum;energy;momentum,,1,execution,4592,,
PHYBench_603,0,1,,,,1,,1589,,
PHYBench_670,1,1,,,,1,,2535,,
PHYBench_72,1,0,energy,energy;entropy,,1,execution,3515,,
PHYBench_719,1,1,,,,1,,2944,,
PHYBench_140,0,1,,,,1,,4651,,
PHYBench_653,2,0,,energy,,1,execution,3721,,
PHYBench_139,0,0,,,,1,execution,2436,,
PHYBench_211,0,0,,,,1,execution,3178,,
PHYBench_106,1,0,energy,energy,,1,execution,4439,,
PHYBench_58,0,,,charge,,1,,3035,,judge_parse
PHYBench_43,1,0,momentum,charge,momentum,0,identification,2866,,
PHYBench_412,0,0,,,,1,execution,3181,,
PHYBench_42,2,0,angular_momentum;energy,angular_momentum,energy,0,identification,3014,,
PHYBench_117,2,0,momentum,energy;mass;momentum,,1,execution,3684,,
PHYBench_45,2,0,energy,entropy;mass,energy,0,identification,3244,,
PHYBench_244,0,1,,energy,,1,,2978,,
PHYBench_654,1,0,momentum,energy;momentum,,1,execution,3215,,
PHYBench_25,4,1,,angular_momentum;energy,,1,,3316,,
PHYBench_37,3,0,,,,1,execution,4131,,
PHYBench_100,1,0,,,,1,execution,3334,,
OlympiadBench_807,1,1,,energy,,1,,1242,,
OlympiadBench_806,0,1,,,,1,,1641,,
OlympiadBench_802,1,0,momentum,energy,momentum,0,identification,2023,,
OlympiadBench_803,1,0,,energy,,1,execution,2221,,
PHYBench_89,2,0,angular_momentum,angular_momentum,,1,execution,3866,,
OlympiadBench_808,0,1,,,,1,,1652,,
OlympiadBench_816,0,0,,,,1,execution,1322,,
OlympiadBench_810,0,1,,,,1,,2673,,
OlympiadBench_812,1,1,,charge,,1,,2987,,
OlympiadBench_811,0,0,,,,1,execution,2477,,
OlympiadBench_814,0,1,,,,1,,2632,,
OlympiadBench_813,1,0,energy,energy,,1,execution,3156,,
OlympiadBench_819,2,1,,mass;momentum,,1,,1238,,
OlympiadBench_817,1,1,,energy;momentum,,1,,2812,,
OlympiadBench_821,2,1,momentum,energy;momentum,,1,,1888,,
OlympiadBench_823,2,0,,,,1,execution,3409,,
OlympiadBench_826,1,0,,,,1,execution,3192,,
OlympiadBench_828,1,0,energy,energy,,1,execution,3860,,
OlympiadBench_835,2,0,energy;momentum,energy;momentum,,1,execution,3810,,
OlympiadBench_837,0,0,,,,1,execution,3134,,
OlympiadBench_840,1,0,energy,energy,,1,execution,1894,,
OlympiadBench_836,1,0,,,,1,execution,3730,,
OlympiadBench_842,1,0,,,,1,execution,2172,,
OlympiadBench_844,0,0,,,,1,execution,2308,,
OlympiadBench_847,0,0,,,,1,execution,2797,,
OlympiadBench_851,0,1,momentum,,momentum,0,,1834,,
OlympiadBench_853,1,0,energy,,energy,0,identification,2342,,
OlympiadBench_849,1,0,,energy,,1,execution,3525,,
OlympiadBench_856,0,0,,,,1,execution,3477,,
OlympiadBench_860,2,0,energy,energy,,1,execution,3236,,
